scenario_id,drop_id,target_id,position_error_x_m,position_error_y_m,position_error_z_m,position_error_3d_m,position_error_h_m,position_error_v_m,range_error_m,velocity_error,doppler_error_hz,rx_azimuth_error_deg,rx_elevation_error_deg
uma_trp1_h38901_isac_Datasetv0,1,1,1.41783748206916,-4.26740569127918,4.74301485142887,6.53583998736176,4.4967782310808,4.74301485142887,-0.24655646132544,16.1905768515512,432.177224080813,-0.796769821871479,0.853347487177968
uma_trp1_h38901_isac_Datasetv0,2,2,-1.16072980568661,0.45829568964264,1.05628914118608,1.63495424117678,1.24792973398117,1.05628914118608,0.0839221653585298,-2.58986621195652,-69.1316437015536,0.430765763526566,0.646927585836956
uma_trp1_h38901_isac_Datasetv0,3,3,-0.218643883049594,3.35552625543355,-2.99906249931308,4.5057449409931,3.3626420562556,-2.99906249931308,0.250593408516863,-55.219905453772,-1473.99229019624,0.57960357667735,-0.715047636534031
uma_trp1_h38901_isac_Datasetv0,4,4,-4.06674875887138,1.39787757563582,2.01735246541311,4.74997033190269,4.30029152316996,2.01735246541311,0.45597416434444,-3.62521638346308,-96.7683837124836,1.38333772300958,0.5855161349462
uma_trp1_h38901_isac_Datasetv0,5,5,2.20313365070405,-3.80890382730935,-2.31255972452679,4.97086297619033,4.40017570655495,-2.31255972452679,-0.0650954993731148,-15.8499781157584,-423.085576667012,-0.844999630391833,-0.444270576682886
uma_trp1_h38901_isac_Datasetv0,6,6,-1.68340563015276,1.94068219803353,0.975860900468049,2.74816418840952,2.56906634974542,0.975860900468049,0.482330380829609,51.3915054401167,1371.80029878403,0.826866232049717,0.303548062747024
uma_trp1_h38901_isac_Datasetv0,7,7,0.571546686360648,0.268400491117177,-2.39300437523546,2.47490896362226,0.631430469902885,-2.39300437523546,-0.00402565194931981,-14.9159674738092,-398.153906214462,-0.018520566155896,-0.600994447505421
uma_trp1_h38901_isac_Datasetv0,8,8,-6.48104636080916,-2.04498378948333,2.55541218479118,7.26058207476415,6.79602241242679,2.55541218479118,0.321775554303059,2.80565625837939,74.8917561485893,3.24575768604579,1.21583076294061
uma_trp1_h38901_isac_Datasetv0,9,9,2.74255875528116,-1.43405671128497,-0.756384850543924,3.18594808800821,3.09485818372196,-0.756384850543924,-0.0020240379122356,-5.78879213844907,-154.520999474831,-0.637266003889732,-1.01347680419879
uma_trp1_h38901_isac_Datasetv0,10,10,1.25934579344531,0.90999319925983,-1.56088378895706,2.20236183512076,1.55371794421237,-1.56088378895706,-0.185545599653153,-4.81656372593873,-128.569176983037,0.353935127829084,-0.436524465052806
uma_trp1_h38901_isac_Datasetv0,11,11,0.259470727530612,-0.0922391449435436,0.069932395049392,0.284119091548818,0.275378136941154,0.069932395049392,0.255044116925262,8.76100479008894,233.858667609894,-0.0322978309548352,-0.0215357007918655
uma_trp1_h38901_isac_Datasetv0,12,12,4.44610554005768,2.48129186501501,-1.9595479295167,5.45568436411001,5.09162683164441,-1.9595479295167,-0.267578964962468,-7.41454592852049,-197.917461903198,-2.77153325828765,-1.17511067391116
uma_trp1_h38901_isac_Datasetv0,13,13,0.732335758354196,-0.276807787778367,0.413195587068213,0.885250703197469,0.78290370693909,0.413195587068213,0.505926637377854,-8.48679299750353,-226.539095712217,-0.338745982251993,0.222184390669434
uma_trp1_h38901_isac_Datasetv0,14,14,-0.109015079388854,-0.713539863944163,2.1556235596483,2.27326557090948,0.721819523822689,2.1556235596483,-0.0180513171966368,14.2699920389401,380.910797903631,-0.0497033854105382,0.844856937544819
uma_trp1_h38901_isac_Datasetv0,15,15,0.366273770417486,-0.665796888597662,-0.0392446555215642,0.760908742720949,0.759896026941955,-0.0392446555215642,-0.336645493314002,43.6536646436084,1165.25308391479,-0.940336394585032,0.0472737481557495
uma_trp1_h38901_isac_Datasetv0,16,16,3.73980894016466,-1.47487833644399,-0.688885390873935,4.07872530308267,4.02012898005118,-0.688885390873935,0.597275449115756,7.7944697976185,208.058820337446,-1.20723201700492,-0.338177452138069
uma_trp1_h38901_isac_Datasetv0,17,17,0.192628441638419,1.23119315351848,0.297789997812316,1.28125765581942,1.24617105479097,0.297789997812316,-0.0187879574032479,2.85532872877214,76.2176700159213,0.370778678216592,0.0932755305216872
uma_trp1_h38901_isac_Datasetv0,18,18,1.51666012755797,-2.13097722920739,-0.144384655851667,2.61957416821322,2.61559207330282,-0.144384655851667,-0.156818169451782,-53.7866731990759,-1435.73483075073,-0.821854911099734,-0.0145738577611922
uma_trp1_h38901_isac_Datasetv0,19,19,5.38404408294724,4.44137388310936,-1.45825404355992,7.13023404330068,6.97952238026966,-1.45825404355992,0.107971584973626,-2.11322440539109,-56.4085804820628,2.45890102284491,-2.95253034842585
uma_trp1_h38901_isac_Datasetv0,20,20,1.06052194399302,0.178699309450323,-3.08765667422749,3.26959691319745,1.0754720995399,-3.08765667422749,0.247914389223581,-49.151160206733,-1311.99846511102,0.0101715185996198,-0.724924054043768
uma_trp1_h38901_isac_Datasetv0,21,21,0.144434513282192,-0.0781332234733618,0.128738346122617,0.208661666340008,0.164213669459647,0.128738346122617,0.150848622918303,3.56774067697095,95.2341770247538,-0.131283151691786,0.0234957091206383
uma_trp1_h38901_isac_Datasetv0,22,22,0.320097597879055,1.54755252540607,-0.258455147399317,1.60130582784047,1.58031050463466,-0.258455147399317,0.759886138314641,-5.81984323616611,-155.349850561426,0.793218836114754,-0.399983318060471
uma_trp1_h38901_isac_Datasetv0,23,23,1.0677993019583,6.4704952872296,-3.64262046741572,7.50174569556707,6.55801072058616,-3.64262046741572,-0.132767535324206,4.01004934689997,107.040781255689,1.28536673425082,-0.735088059768142
uma_trp1_h38901_isac_Datasetv0,24,24,1.57798011762401,-3.04402830906642,1.19858503072948,3.6321805673594,3.42872127738818,1.19858503072948,0.404479785135607,-10.4142890313925,-277.990004039373,-0.683342095978752,0.201479138842501
uma_trp1_h38901_isac_Datasetv0,25,25,3.17928743409206,-3.24675534561203,1.75118846609982,4.86990245350325,4.54414886010967,1.75118846609982,-0.0873000500107537,-1.86155077033677,-49.690622624886,-0.958654709630693,0.390273431100102
uma_trp1_h38901_isac_Datasetv0,26,26,-0.152087837539085,2.04008375175493,-1.90855024132294,2.79779135179084,2.04574495587837,-1.90855024132294,-0.396681506222876,-4.57147289201444,-122.026934713089,0.677625160880546,-0.599280387593044
uma_trp1_h38901_isac_Datasetv0,27,27,-0.3740301116311,2.94235547051468,1.14441066021577,3.17915554801742,2.96603341843521,1.14441066021577,0.224252543046845,-0.60197919926893,-16.0687109347504,1.11459827607374,0.388492573663015
uma_trp1_h38901_isac_Datasetv0,28,28,0.63322596612386,-1.21382624058577,0.037450932427916,1.36958089897888,1.3690687588679,0.037450932427916,0.464742533889847,9.37527104147945,250.255358463255,-0.333618080860831,-0.0166668071396199
uma_trp1_h38901_isac_Datasetv0,29,29,2.53297627425836,-2.43524951280381,2.52414160194969,4.32639570800685,3.51374572152951,2.52414160194969,0.0445063261296923,10.4169440218939,278.060874054406,-0.77782563006717,0.572934186674573
uma_trp1_h38901_isac_Datasetv0,30,30,-1.11466477542479,-1.10095628292312,2.68356248994314,3.10742496866948,1.56671066201794,2.68356248994314,0.344974148499716,6.34666602540595,169.412401434305,-0.191634972581362,0.656438435780025
uma_trp1_h38901_isac_Datasetv0,31,31,2.15145245984758,-2.08060164591524,-0.036707716043793,2.99315859125215,2.992933493409,-0.036707716043793,0.254878008076048,10.5043719778424,280.394600125769,-0.845544291006739,-0.0535053809814769
uma_trp1_h38901_isac_Datasetv0,32,32,-1.63932563288472,1.96836180006154,1.99737752024086,3.24828472658077,2.56160822659797,1.99737752024086,0.443253795152629,-2.49869408154635,-66.6979738826536,0.928673692731095,0.664815742513671
uma_trp1_h38901_isac_Datasetv0,33,33,0.248646186230189,1.22861018459524,0.514933220510613,1.3551620320845,1.25351821351665,0.514933220510613,0.509234688212757,1.83555284047409,48.9966564207835,0.365924435156353,0.141290609516333
uma_trp1_h38901_isac_Datasetv0,34,34,-2.1513710809684,1.97480463464569,0.952736939878761,3.07180053871582,2.92031691311838,0.952736939878761,-0.0658562991334861,-56.2727488032243,-1502.09597793573,0.66323341886779,0.22377861961083
